,ticker,esg_rating,carbon_intensity,quality_score,quality_score_qtl,carbon_intensity_qtl,grade
0,SPY,A,122.31,6.68,Q3,Q2,A
1,IVV,A,122.41,6.68,Q3,Q2,A
2,VOO,A,122.47,6.68,Q3,Q2,A
3,VTI,A,122.61,6.52,Q3,Q2,A
4,QQQ,A,47.01,6.71,Q3,Q1,A
5,VEA,AA,126.17,7.41,Q4,Q2,A
6,VTV,A,213.73,6.5,Q3,Q3,A
7,IEFA,AA,108.58,7.53,Q4,Q2,A
8,BND,A,269.7,6.08,Q2,Q4,A
9,AGG,A,278.45,6.07,Q2,Q4,A
10,VUG,A,44.04,6.75,Q3,Q1,A
11,VWO,BBB,382.94,5.35,Q1,Q4,B
12,IEMG,BBB,339.37,5.37,Q1,Q4,B
13,IJH,A,153.69,5.89,Q2,Q3,A
14,IJR,BBB,105.74,5.37,Q1,Q2,A
15,IWF,A,42.68,6.94,Q4,Q1,A
16,VIG,A,134.33,6.92,Q4,Q3,A
17,VXUS,A,187.61,6.93,Q4,Q3,A
18,GLD,,,,Q4,Q4,A
19,VO,A,212.03,6.44,Q3,Q3,A
20,IWM,BBB,143.48,5.2,Q1,Q3,A
21,VGT,AA,21.22,7.32,Q4,Q1,A
22,IWD,A,211.1,6.2,Q2,Q3,A
23,XLK,AA,22.44,7.57,Q4,Q1,A
24,BNDX,A,79.52,6.52,Q3,Q2,B
25,EFA,AA,101.28,7.71,Q4,Q2,A
26,VYM,A,257.77,6.7,Q3,Q4,A
27,SCHD,AA,68.29,7.16,Q4,Q2,A
28,VB,A,136.87,5.71,Q1,Q3,A
29,ITOT,A,121.05,6.53,Q3,Q2,A
30,RSP,A,219.68,6.69,Q3,Q3,A
31,TLT,A,,5.72,Q1,Q4,
32,XLV,A,12.87,7.01,Q4,Q1,A
33,VCIT,A,256.48,6.58,Q3,Q4,A
34,LQD,A,150.35,6.6,Q3,Q3,A
35,XLF,A,39.57,5.98,Q2,Q1,A
36,VEU,A,184.53,7.02,Q4,Q3,B
37,VCSH,A,175.35,6.68,Q3,Q3,A
38,XLE,A,378.94,6.26,Q2,Q4,A
39,IVW,A,71.57,6.82,Q3,Q2,A
40,SCHX,A,120.06,6.63,Q3,Q2,A
41,VNQ,A,83.81,6.13,Q2,Q2,A
42,BSV,A,149.58,6.1,Q2,Q3,A
43,MUB,,,,Q4,Q4,A
44,IXUS,A,184.83,6.93,Q4,Q3,A
45,SCHF,AA,123.77,7.54,Q4,Q2,A
46,IWB,A,121.11,6.59,Q3,Q2,A
47,QUAL,A,56.1,6.91,Q4,Q1,A
48,DIA,A,31.18,7.13,Q4,Q1,A
49,IWR,A,190.53,6.37,Q2,Q3,A
50,USMV,A,294.16,6.92,Q4,Q4,A
51,VT,A,147.37,6.7,Q3,Q3,A
52,IEF,A,,5.72,Q1,Q4,B
53,VV,A,120.89,6.64,Q3,Q2,A
54,JEPI,A,233.47,7.04,Q4,Q3,A
55,VTEB,,,,Q4,Q4,A
56,IAU,,,,Q4,Q4,A
57,BIL,BBB,1.6,5.71,Q1,Q1,A
58,MBB,,,,Q4,Q4,A
59,IVE,A,182.65,6.52,Q3,Q3,A
60,SHY,A,,5.72,Q1,Q4,A
61,VBR,A,181.68,5.78,Q2,Q3,A
62,DGRO,A,220.47,6.89,Q4,Q3,A
63,GOVT,A,,5.72,Q1,Q4,
64,EEM,BBB,321.57,5.54,Q1,Q4,C
65,SCHB,A,121.14,6.53,Q3,Q2,A
66,JPST,AA,107.88,7.32,Q4,Q2,A
67,IGSB,A,203.14,6.69,Q3,Q3,A
68,SDY,A,245.44,6.65,Q3,Q4,A
69,VGSH,A,,5.72,Q1,Q4,A
70,IUSB,A,297.16,5.95,Q2,Q4,A
71,TIP,A,,5.72,Q1,Q4,A
72,DFAC,A,128.75,6.43,Q3,Q2,A
73,SHV,A,,5.72,Q1,Q4,A
74,DVY,A,612.61,6.71,Q3,Q4,A
75,MDY,A,153.53,5.89,Q2,Q3,A
76,SCHG,A,36.12,6.69,Q3,Q1,A
77,SPLG,A,122.1,6.69,Q3,Q2,A
78,TQQQ,A,47.01,6.25,Q2,Q1,
79,VGK,AA,93.8,7.82,Q4,Q2,A
80,SPYG,A,71.56,6.82,Q3,Q2,A
81,ACWI,A,141.72,6.82,Q3,Q3,A
82,XLP,AA,46.03,7.29,Q4,Q1,A
83,VHT,A,15.32,6.83,Q4,Q1,A
84,XLY,A,72.41,6.36,Q2,Q2,A
85,USFR,,,,Q4,Q4,A
86,VOE,A,326.22,6.57,Q3,Q4,A
87,SPDW,AA,129.31,7.44,Q4,Q2,A
88,SPYV,A,182.52,6.53,Q3,Q3,A
89,EFV,AA,148.97,7.47,Q4,Q3,A
90,VXF,BBB,113.81,5.57,Q1,Q2,A
91,VMBS,,,,Q4,Q4,A
92,XLU,A,,7.04,Q4,Q4,A
93,XLI,A,119.24,6.85,Q4,Q2,A
94,EMB,BB,,3.98,Q1,Q4,B
95,BIV,A,247.47,6.11,Q2,Q4,A
96,VGIT,A,,5.72,Q1,Q4,A
97,HYG,BBB,280.68,5.26,Q1,Q4,B
98,SCHA,BBB,133.65,5.39,Q1,Q3,A
99,VBK,BBB,79.3,5.62,Q1,Q2,A
100,IUSV,A,180.67,6.48,Q3,Q3,A
101,MGK,A,35.4,6.81,Q3,Q1,A
102,QQQM,A,47.0,6.71,Q3,Q1,A
103,VTIP,A,,5.72,Q1,Q4,A
104,COWZ,A,233.72,6.54,Q3,Q3,A
105,XLC,BB,9.73,4.14,Q1,Q1,A
106,IUSG,A,76.16,6.78,Q3,Q2,A
107,IWP,A,81.31,6.5,Q3,Q2,A
108,ESGU,AA,75.24,7.35,Q4,Q2,A
109,EWJ,AA,77.78,7.34,Q4,Q2,B
110,VONG,A,42.71,6.94,Q4,Q1,A
111,IEI,A,,5.72,Q1,Q4,A
112,IWS,A,255.44,6.29,Q2,Q4,A
113,PFF,BBB,258.39,5.49,Q1,Q4,
114,EFG,AA,55.52,7.94,Q4,Q1,A
115,GDX,A,323.89,6.74,Q3,Q4,B
116,SCHO,A,1.6,5.72,Q1,Q1,A
117,FVD,AA,506.66,7.15,Q4,Q4,B
118,SGOV,A,,5.72,Q1,Q4,
119,FNDX,A,158.31,6.45,Q3,Q3,A
120,NOBL,A,149.98,7.02,Q4,Q3,A
121,IWN,BBB,189.85,5.01,Q1,Q3,A
122,IGIB,A,281.58,6.58,Q3,Q4,A
123,IWV,A,122.31,6.52,Q3,Q2,A
124,STIP,A,,5.72,Q1,Q4,A
125,GSLC,A,109.03,6.7,Q3,Q2,A
126,SCHP,A,1.6,5.72,Q1,Q1,A
127,IYW,A,18.71,6.88,Q4,Q1,A
128,VOT,A,94.64,6.3,Q2,Q2,A
129,IDEV,AA,125.88,7.5,Q4,Q2,A
130,SLV,,,,Q4,Q4,B
131,SCZ,A,154.6,6.35,Q2,Q3,A
132,FNDF,AA,180.34,7.33,Q4,Q3,A
133,HDV,A,370.89,6.75,Q3,Q4,A
134,MOAT,A,47.76,6.68,Q3,Q1,A
135,IWO,BBB,103.38,5.36,Q1,Q2,A
136,SCHV,A,204.85,6.56,Q3,Q3,A
137,SCHM,A,191.0,5.99,Q2,Q3,A
138,SMH,AA,61.36,8.1,Q4,Q1,
139,DGRW,A,66.64,7.09,Q4,Q1,
140,SUB,,,,Q4,Q4,A
141,TFLO,A,,5.72,Q1,Q4,A
142,USHY,BBB,292.32,5.26,Q1,Q4,A
143,SPLV,A,533.82,6.76,Q3,Q4,A
144,USIG,A,306.81,6.57,Q3,Q4,A
145,MINT,A,214.87,6.59,Q3,Q3,B
146,MTUM,A,99.58,6.47,Q3,Q2,
147,VFH,A,25.97,5.75,Q2,Q1,A
148,DFUV,,,,Q4,Q4,A
149,VSS,A,226.39,5.84,Q2,Q3,
150,FTCS,A,75.7,6.95,Q4,Q2,A
151,BBJP,AA,77.1,7.31,Q4,Q2,A
152,SCHE,BBB,383.2,5.42,Q1,Q4,B
153,SOXX,AA,63.99,7.65,Q4,Q1,
154,ARKK,BBB,17.94,5.58,Q1,Q1,B
155,JNK,BBB,312.8,5.18,Q1,Q4,B
156,DFAT,BBB,164.67,5.43,Q1,Q3,A
157,OEF,A,84.24,6.61,Q3,Q2,A
158,RDVY,A,143.01,6.61,Q3,Q3,A
159,EZU,AA,123.75,7.85,Q4,Q2,B
160,QYLD,A,46.98,6.71,Q3,Q1,
161,SPSM,BBB,105.59,5.37,Q1,Q2,A
162,IJK,A,158.93,6.0,Q2,Q3,A
163,VOOG,A,71.59,6.82,Q3,Q2,A
164,VDE,A,410.35,6.11,Q2,Q4,A
165,FTSM,A,364.57,6.58,Q3,Q4,B
166,MCHI,BBB,245.65,4.79,Q1,Q4,B
167,SPSB,A,168.21,6.71,Q3,Q3,A
168,EFAV,AA,141.02,7.38,Q4,Q3,A
169,BBEU,AA,100.13,7.91,Q4,Q2,A
170,IBB,A,18.24,6.3,Q2,Q1,A
171,SPEM,BBB,375.81,5.39,Q1,Q4,C
172,ESGD,AA,85.73,8.52,Q4,Q2,A
173,GUNR,A,335.3,6.63,Q3,Q4,D
174,TLH,A,,5.72,Q1,Q4,B
175,SCHR,A,1.6,5.71,Q1,Q1,A
176,VGLT,A,,5.72,Q1,Q4,A
177,FTEC,AA,18.32,7.36,Q4,Q1,
178,IJJ,A,148.0,5.77,Q2,Q3,A
179,VDC,A,50.23,6.97,Q4,Q1,A
180,IWY,A,34.87,7.03,Q4,Q1,A
181,SCHZ,A,237.55,6.02,Q2,Q3,A
182,FLOT,AA,63.23,7.45,Q4,Q1,A
183,IJS,BBB,100.22,5.5,Q1,Q2,A
184,SPTL,A,1.6,5.72,Q1,Q1,A
185,SPMD,A,153.46,5.89,Q2,Q3,A
186,SOXL,A,62.62,7.13,Q4,Q1,
187,DFUS,A,130.99,6.54,Q3,Q2,A
188,FNDA,BBB,153.41,5.46,Q1,Q3,A
189,VLUE,A,108.38,6.75,Q3,Q2,A
190,ESGV,A,49.21,6.67,Q3,Q1,A
191,SPYD,A,436.72,6.7,Q3,Q4,A
192,VONV,A,211.29,6.19,Q2,Q3,A
193,AMLP,BBB,520.57,4.29,Q1,Q4,
194,IQLT,AA,89.09,8.0,Q4,Q2,A
195,SPTM,A,122.46,6.62,Q3,Q2,A
196,IGV,AA,10.59,7.83,Q4,Q1,
197,AVUV,BBB,233.0,5.21,Q1,Q3,A
198,SPAB,A,261.88,6.1,Q2,Q4,A
199,VPL,A,128.81,6.85,Q4,Q2,A
200,XLB,A,620.83,6.78,Q3,Q4,A
201,XBI,BBB,36.33,4.88,Q1,Q1,A
202,VYMI,A,221.85,6.98,Q4,Q3,B
203,VTWO,BBB,143.46,5.2,Q1,Q3,A
204,SPIB,A,227.15,6.66,Q3,Q3,A
205,PRF,A,179.74,6.39,Q3,Q3,A
206,IHI,A,17.09,6.25,Q2,Q1,A
207,GLDM,,,,Q4,Q4,A
208,BBCA,AA,284.66,7.35,Q4,Q4,A
209,VCLT,A,418.18,6.47,Q3,Q4,A
210,MGV,A,188.81,6.51,Q3,Q3,A
211,SCHH,A,88.02,6.11,Q2,Q2,
212,ICSH,AA,261.75,7.23,Q4,Q4,A
213,DFAX,A,238.12,6.68,Q3,Q3,A
214,FDN,BBB,9.97,5.55,Q1,Q1,A
215,DFAS,BBB,156.91,5.55,Q1,Q3,A
216,INDA,BBB,534.48,5.38,Q1,Q4,D
217,DFIV,AA,172.92,7.43,Q4,Q3,A
218,ITA,A,31.6,6.12,Q2,Q1,A
219,BLV,A,442.86,6.05,Q2,Q4,A
220,JIRE,,,,Q4,Q4,A
221,SPHQ,A,100.97,6.76,Q3,Q2,A
222,VPU,A,,6.99,Q4,Q4,A
223,EWZ,BBB,310.63,5.05,Q1,Q4,B
224,SHYG,BBB,296.46,5.05,Q1,Q4,
225,GBIL,A,,5.72,Q1,Q4,
226,KWEB,BBB,16.2,4.63,Q1,Q1,C
227,SPTS,A,1.6,5.72,Q1,Q1,A
228,FPE,A,127.03,6.34,Q2,Q2,C
229,IJT,BBB,111.99,5.24,Q1,Q2,A
230,QLD,A,47.01,6.62,Q3,Q1,
231,FXI,BBB,126.34,5.6,Q1,Q2,B
232,VIGI,AA,117.82,7.67,Q4,Q2,B
233,VCR,A,64.37,6.25,Q2,Q1,A
234,PDBC,,,,Q4,Q4,B
235,ONEQ,A,54.05,6.46,Q3,Q1,
236,CIBR,A,8.69,6.49,Q3,Q1,B
237,SCHI,A,257.62,6.6,Q3,Q4,A
238,FNDE,BBB,470.45,5.4,Q1,Q4,D
239,PAVE,A,226.69,6.63,Q3,Q3,B
240,ACWV,A,272.31,6.66,Q3,Q4,A
241,EMXC,A,355.25,5.85,Q2,Q4,C
242,XLRE,A,93.71,6.95,Q4,Q2,A
243,IDV,A,388.54,7.13,Q4,Q4,B
244,PULS,A,198.14,7.09,Q4,Q3,A
245,PGX,BBB,149.49,5.65,Q1,Q3,
246,OMFL,A,129.34,6.59,Q3,Q2,A
247,CWB,BBB,302.88,5.67,Q1,Q4,B
248,EEMV,BBB,223.28,5.36,Q1,Q3,B
249,SRLN,,,,Q4,Q4,
250,SSO,A,122.42,6.58,Q3,Q2,
251,AVUS,A,168.99,6.43,Q3,Q3,A
252,IAGG,A,63.1,5.96,Q2,Q1,B
253,ESGE,A,133.95,7.1,Q4,Q3,C
254,VIS,A,118.69,6.7,Q3,Q2,A
255,ACWX,A,174.1,7.09,Q4,Q3,B
256,JEPQ,,,,Q4,Q4,A
257,FDL,A,332.56,6.57,Q3,Q4,A
258,SPMB,,,,Q4,Q4,A
259,IEUR,AA,101.02,7.82,Q4,Q2,A
260,FBND,A,259.43,5.81,Q2,Q4,A
261,FIXD,,,,Q4,Q4,B
262,LMBS,,,,Q4,Q4,B
263,BBAX,AA,173.9,7.51,Q4,Q3,A
264,DBEF,AA,103.38,7.7,Q4,Q2,B
265,MGC,A,103.37,6.68,Q3,Q2,A
266,ICLN,A,201.25,6.95,Q4,Q3,A
267,ISTB,A,220.11,5.99,Q2,Q3,A
268,SQQQ,A,,,Q4,Q4,
269,SHM,,,,Q4,Q4,A
270,IOO,A,50.11,6.94,Q4,Q1,C
271,GDXJ,BBB,564.06,5.42,Q1,Q4,B
272,BKLN,,,,Q4,Q4,C
273,SLYV,BBB,98.91,5.5,Q1,Q2,A
274,IXJ,AA,15.25,7.15,Q4,Q1,C
275,SPTI,A,1.6,5.72,Q1,Q1,A
276,SUSA,AA,49.65,8.29,Q4,Q1,A
277,DFAI,AA,150.26,7.51,Q4,Q3,A
278,DFIC,AA,160.13,7.33,Q4,Q3,A
279,HYLB,BBB,300.25,5.17,Q1,Q4,B
280,IGF,A,889.24,7.13,Q4,Q4,A
281,DFAU,A,138.07,6.51,Q3,Q3,A
282,SJNK,BBB,338.31,5.04,Q1,Q4,B
283,BSCO,A,156.7,6.74,Q3,Q3,A
284,EWT,A,230.06,6.37,Q2,Q3,B
285,TFI,,,,Q4,Q4,B
286,SCHC,A,189.59,6.13,Q2,Q3,A
287,DSI,AA,67.36,7.56,Q4,Q2,A
288,EWY,BBB,192.96,5.61,Q1,Q3,B
289,BBIN,AA,102.35,7.71,Q4,Q2,A
290,VONE,A,121.1,6.59,Q3,Q2,A
291,IXN,AA,29.26,7.59,Q4,Q1,B
292,XOP,A,424.63,5.8,Q2,Q4,A
293,AVEM,BBB,404.82,5.3,Q1,Q4,A
294,VUSB,A,161.9,6.75,Q3,Q3,
295,DLN,A,201.22,6.86,Q4,Q3,A
296,VNQI,A,72.19,6.21,Q2,Q2,B
297,KRE,BBB,5.39,4.61,Q1,Q1,C
298,NEAR,A,97.85,6.63,Q3,Q2,A
299,VOOV,A,182.89,6.52,Q3,Q3,A
300,EMLC,BBB,283.94,4.94,Q1,Q4,B
301,BOND,,,,Q4,Q4,B
302,VSGX,A,99.05,7.11,Q4,Q2,
303,HEFA,AA,101.28,7.71,Q4,Q2,
304,GNR,A,353.58,6.92,Q4,Q4,B
305,FV,A,182.02,6.71,Q3,Q3,
306,VWOB,BB,639.19,4.02,Q1,Q4,B
307,DON,A,372.66,5.76,Q2,Q4,B
308,XT,A,142.31,6.94,Q4,Q3,B
309,JAAA,,,,Q4,Q4,
310,SPHD,A,559.24,6.87,Q4,Q4,A
311,REET,A,86.99,5.79,Q2,Q2,A
312,LIT,A,149.31,5.77,Q2,Q3,C
313,JHMM,A,206.36,6.39,Q3,Q3,C
314,VOX,BB,12.79,4.28,Q1,Q1,A
315,AVDV,A,282.26,6.43,Q3,Q4,B
316,GSIE,AA,112.1,7.53,Q4,Q2,A
317,IYR,A,81.03,6.25,Q2,Q2,A
318,IYH,A,14.38,6.93,Q4,Q1,A
319,IGM,A,18.12,6.77,Q3,Q1,
320,SPGP,A,86.01,6.54,Q3,Q2,B
321,EWC,AA,268.75,7.37,Q4,Q4,A
322,DFCF,A,172.61,6.28,Q2,Q3,
323,AVDE,AA,182.15,7.4,Q4,Q3,A
324,SPXL,A,118.34,6.48,Q3,Q2,
325,VAW,A,590.04,6.6,Q3,Q4,A
