symbol;fund_name;asset_class;assets;maxAge;ytdReturn;fiftyTwoWeekLow;fiftyTwoWeekHigh;fiftyDayAverage;navPrice;currency;category;threeYearAverageReturn;fiveYearAverageReturn;longBusinessSummary;bid;ask;bidSize;askSize
SPY;SPDR S&P 500 ETF Trust;Equity;6,3082E+14;86400;373498;49023;61078;59736;60803925;USD;Large Blend;1304251;1482181;The trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index, with the weight of each stock in the portfolio substantially corresponding to the weight of such stock in the index.;60044;60049;1300;1200
VOO;Vanguard S&P 500 ETF;Equity;6,2459E+14;86400;3749;45054;56166;549275;55911;USD;Large Blend;13100779;1486128;The fund employs an indexing investment approach designed to track the performance of the Standard & Poor's 500 Index, a widely recognized benchmark of U.S. stock market performance that is dominated by the stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.;55211;55016;800;1400
IVV;iShares Core S&P 500 ETF;Equity;6,0387E+14;86400;377285;49259;61379;6001176;61096936;USD;Large Blend;1313412;148708;The index measures the performance of the large-capitalization sector of the U.S. equity market, as determined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;60332;60339;800;800
VTI;Vanguard Total Stock Market ETF;Equity;4,7721E+14;86400;396467;24274;30295;2962958;30136;USD;Large Blend;123516105;142312;The fund employs an indexing investment approach designed to track the performance of the index, which represents approximately 100% of the investable U.S. stock market and includes large-, mid-, small-, and micro-cap stocks. It invests by sampling the index, meaning that it holds a broadly diversified collection of securities that, in the aggregate, approximates the full index in terms of key characteristics. The fund is non-diversified.;2972;29812;900;800
QQQ;Invesco QQQ Trust Series I;Equity;3,2873E+14;86400;35991598;41307;53915;5182204;5297;USD;Large Growth;1521916;1968366;"To maintain the correspondence between the composition and weights of the securities in the trust (the ""securities"") and the stocks in the NASDAQ-100 Index®, the adviser adjusts the securities from time to time to conform to periodic changes in the identity and/or relative weights of index securities. The composition and weighting of the securities portion of a portfolio deposit are also adjusted to conform to changes in the index.";51732;51886;100;100
VUG;Vanguard Growth ETF;Equity;1,6087E+14;86400;330864;32129;42869;4156426;42411;USD;Large Growth;153102;1804308;The fund employs an indexing investment approach designed to track the performance of the index, a broadly diversified index predominantly made up of growth stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.;4170;4200;800;800
VEA;Vanguard FTSE Developed Markets ETF;Equity;1,4104E+14;86400;460059;4672;534;49179;4998;USD;Foreign Large Blend;398821;56758698;The fund employs an indexing investment approach designed to track the performance of the FTSE Developed All Cap ex US Index, a market-capitalization-weighted index that is made up of approximately 3,957 common stocks of large-, mid-, and small-cap companies located in Canada and the major markets of Europe and the Pacific region. The Advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.;4945;4975;1300;1300
VTV;Vanguard Value ETF;Equity;1,3595E+14;86400;469581;15024;18238;1747216;1773;USD;Large Value;1000389;1096049;The fund employs an indexing investment approach designed to track the performance of the CRSP US Large Cap Value Index, a broadly diversified index predominantly made up of value stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.;17612;1768;1000;800
IEFA;iShares Core MSCI EAFE ETF;Equity;1,2443E+14;86400;463859;6874;7883;721512;7348709;USD;Foreign Large Blend;41719098;547224;The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure large-, mid- and small-capitalization equity market performance and includes stocks from Europe, Australasia and the Far East.;7294;746;3100;1300
BND;Vanguard Total Bond Market ETF;Fixed Income;1,2316E+14;86400;18077999;7037;7567;724166;7199;USD;Intermediate Core Bond;-17298501;-5387;This index measures the performance of a wide spectrum of public, investment-grade, taxable, fixed income securities in the United States-including government, corporate, and international dollar-denominated bonds, as well as mortgage-backed and asset-backed securities-all with maturities of more than 1 year. All of the fund's investments will be selected through the sampling process, and at least 80% of its assets will be invested in bonds held in the index.;7216;7217;100;100
