longBusinessSummary,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,category,ytdReturn,beta3Year,fundFamily,fundInceptionDate,legalType,threeYearAverageReturn,fiveYearAverageReturn,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,trailingPegRatio,phone,forwardPE,currentPrice,recommendationKey,marketCap,recommendationMean
"The trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index, with the weight of each stock in the portfolio substantially corresponding to the weight of such stock in the index.",86400,2,601.82,592.67,590.49,600.29,601.82,592.67,590.49,600.29,27.678318,65180687,65180687,48519896,48237630,48237630,600.44,600.49,1300,1200,0.0121,623795240960,490.23,610.78,597.36,561.8024,5.662,0.009408128,608.03925,USD,Large Blend,0.0373498,1.0,SPDR State Street Global Advisors,727660800,Exchange Traded Fund,0.1304251,0.1482181,PCX,ETF,SPY,SPY,SPDR S&P 500,SPDR S&P 500 ETF Trust,728317800,America/New_York,EST,e97de790-7e95-3762-8917-c59fcab3735e,finmb_6160262,-18000000,,,,,,,
"The fund employs an indexing investment approach designed to track the performance of the Standard & Poor's 500 Index, a widely recognized benchmark of U.S. stock market performance that is dominated by the stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.",86400,2,553.33,544.99,542.99,551.9599,553.33,544.99,542.99,551.9599,27.685514,7788367,7788367,6091843,5295740,5295740,552.11,550.16,800,1400,0.0124,1349436178432,450.54,561.66,549.275,516.50885,5.437,0.009825963,559.11,USD,Large Blend,0.03749,1.0,Vanguard,1283817600,Exchange Traded Fund,0.13100779,0.1486128,PCX,ETF,VOO,VOO,Vanguard S&P 500 ETF,Vanguard S&P 500 ETF,1284039000,America/New_York,EST,367519e5-61d9-3b17-9298-4635221f9752,finmb_28117396,-18000000,,800-523-1036,,,,,
"The index measures the performance of the large-capitalization sector of the U.S. equity market, as determined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.",86400,2,604.66,595.58,593.34,603.1448,604.66,595.58,593.34,603.1448,27.690218,4377942,4377942,6616325,4867170,4867170,603.32,603.39,800,800,0.012999999,585743400960,492.59,613.79,600.1176,564.5867,5.688,0.00940694,610.96936,USD,Large Blend,0.0377285,1.0,iShares,958348800,Exchange Traded Fund,0.1313412,0.148708,PCX,ETF,IVV,IVV,iShares Core S&P 500 ETF,iShares Core S&P 500 ETF,958743000,America/New_York,EST,17732e4a-0401-33ba-977d-a9848ab99a1e,finmb_8797798,-18000000,,1-800-474-2737,,,,,
"The fund employs an indexing investment approach designed to track the performance of the index, which represents approximately 100% of the investable U.S. stock market and includes large-, mid-, small-, and micro-cap stocks. It invests by sampling the index, meaning that it holds a broadly diversified collection of securities that, in the aggregate, approximates the full index in terms of key characteristics. The fund is non-diversified.",86400,2,298.6,293.32,292.7,297.6997,298.6,293.32,292.7,297.6997,26.84146,4843966,4843966,3211783,3190420,3190420,297.2,298.12,900,800,0.0127,1777875943424,242.74,302.95,296.2958,277.7493,2.802,0.009383791,301.36,USD,Large Blend,0.0396467,1.02,Vanguard,990662400,Exchange Traded Fund,0.123516105,0.142312,PCX,ETF,VTI,VTI,Vanguard Total Stock Market ETF,Vanguard Total Stock Market Index Fund ETF Shares,992611800,America/New_York,EST,ae6e3292-e53d-304b-a161-26123c4e2754,finmb_6184536,-18000000,,800-523-1036,,,,,
"To maintain the correspondence between the composition and weights of the securities in the trust (the ""securities"") and the stocks in the NASDAQ-100 Index®, the adviser adjusts the securities from time to time to conform to periodic changes in the identity and/or relative weights of index securities. The composition and weighting of the securities portion of a portfolio deposit are also adjusted to conform to changes in the index.",86400,2,522.29,513.54,511.0514,520.8496,522.29,513.54,511.0514,520.8496,34.50292,37680927,37680927,30641621,33883520,33883520,517.32,518.86,100,100,0.0056,318905516032,413.07,539.15,518.2204,482.8294,1.77,0.003388922,529.7,USD,Large Growth,0.035991598,1.18,Invesco,921024000,Exchange Traded Fund,0.1521916,0.1968366,NGM,ETF,QQQ,QQQ,"Invesco QQQ Trust, Series 1",Invesco QQQ Trust,921076200,America/New_York,EST,714d32d4-5f6c-33bc-b36a-765119cb3c4c,finmb_8108558,-18000000,,,,,,,
"The fund employs an indexing investment approach designed to track the performance of the index, a broadly diversified index predominantly made up of growth stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",86400,2,418.35,410.07,408.47,416.5058,418.35,410.07,408.47,416.5058,39.499397,2082343,2082343,1252140,1213080,1213080,417.0,420.0,800,800,0.0047,284412182528,321.29,428.69,415.6426,381.18216,1.54,0.0036811281,424.11,USD,Large Growth,0.0330864,1.2,Vanguard,974073600,Exchange Traded Fund,0.153102,0.1804308,PCX,ETF,VUG,VUG,Vanguard Growth ETF,Vanguard Growth Index Fund ETF Shares,1075473000,America/New_York,EST,3fb3c54b-ac72-3c28-8a84-61a7401ffd66,finmb_22939698,-18000000,,800-523-1036,,,,,
"The fund employs an indexing investment approach designed to track the performance of the FTSE Developed All Cap ex US Index, a market-capitalization-weighted index that is made up of approximately 3,957 common stocks of large-, mid-, and small-cap companies located in Canada and the major markets of Europe and the Pacific region. The Advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",86400,2,49.94,49.01,48.885,49.61,49.94,49.01,48.885,49.61,16.125196,14539014,14539014,12316051,11362030,11362030,49.45,49.75,1300,1300,0.0336,191386025984,46.72,53.4,49.179,50.20135,,,49.98,USD,Foreign Large Blend,0.0460059,1.09,Vanguard,934848000,Exchange Traded Fund,0.0398821,0.056758698,PCX,ETF,VEA,VEA,Vanguard FTSE Developed Markets,Vanguard FTSE Developed Markets Index Fund ETF Shares,1185456600,America/New_York,EST,59e171cb-90da-32e2-a97c-c469ca1ea5c7,finmb_28121289,-18000000,,,,,,,
"The fund employs an indexing investment approach designed to track the performance of the CRSP US Large Cap Value Index, a broadly diversified index predominantly made up of value stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",86400,2,176.7,174.39,173.87,176.779,176.7,174.39,173.87,176.779,20.545662,3778050,3778050,2165735,2452260,2452260,176.12,176.8,1000,800,0.0231,183520968704,150.24,182.38,174.7216,168.7358,3.04,0.017204301,177.3,USD,Large Value,0.0469581,0.8,Vanguard,1075075200,Exchange Traded Fund,0.1000389,0.1096049,PCX,ETF,VTV,VTV,Vanguard Value ETF,Vanguard Value Index Fund ETF Shares,1075473000,America/New_York,EST,e395935f-a395-37e3-997b-916a295f23e4,finmb_22939702,-18000000,,800-523-1036,,,,,
"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure large-, mid- and small-capitalization equity market performance and includes stocks from Europe, Australasia and the Far East.",86400,2,73.58,72.39,72.16,73.22,73.58,72.39,72.16,73.22,16.499447,12682036,12682036,9330135,7979250,7979250,72.94,74.6,3100,1300,0.0347,117813043200,68.74,78.83,72.1512,73.92825,,,73.48709,USD,Foreign Large Blend,0.0463859,1.08,iShares,1350518400,Exchange Traded Fund,0.041719098,0.0547224,BTS,ETF,IEFA,IEFA,iShares Core MSCI EAFE ETF,iShares Core MSCI EAFE ETF,1351085400,America/New_York,EST,7bb7b24e-dfc5-3b94-bc56-964aa6136e28,finmb_223235653,-18000000,,1-800-474-2737,,,,,
"This index measures the performance of a wide spectrum of public, investment-grade, taxable, fixed income securities in the United States-including government, corporate, and international dollar-denominated bonds, as well as mortgage-backed and asset-backed securities-all with maturities of more than 1 year. All of the fund's investments will be selected through the sampling process, and at least 80% of its assets will be invested in bonds held in the index.",86400,2,72.1052,72.23,72.0616,72.425,72.1052,72.23,72.0616,72.425,,7162919,7162919,6853915,6498010,6498010,72.16,72.17,100,100,0.0367,342038380544,70.37,75.67,72.4166,72.9114,,,71.99,USD,Intermediate Core Bond,0.0018077999,0.99,Vanguard,1175558400,Exchange Traded Fund,-0.017298501,-0.005387,NGM,ETF,BND,BND,Vanguard Total Bond Market ETF,Vanguard Total Bond Market Index Fund,1176211800,America/New_York,EST,76c31bb1-7aa4-35c5-8620-656a77c13b11,finmb_33837570,-18000000,,800-523-1036,,,,,
